transactionid,commitdate,ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
3,2001/12/12 17:41,1,1,3,0.579380164,0.093619972,0,480.6666667,1,14,596,0.666666667,143,133.5,129,1
7,1999/10/12 12:57,1,1,1,0,0,0,398,1,1,0,1,140,140,137,1
8,2002/5/15 16:55,3,3,52,0.739279416,0.183476904,0.208912704,283.5192308,0,23,15836,0.75,984,818.65,978,0
9,2002/1/21 15:37,1,1,8,0.685327593,0.016038882,0.012879708,514.375,1,21,1281,1,579,479.25,550,0
10,2001/12/19 16:44,2,2,38,0.769776151,0.091828682,0.072745534,366.8157895,1,21,6565,0.763157895,413,313.25,405,0
12,2002/1/21 15:42,1,1,16,0.760777157,0.018308351,0.017665953,583.75,1,20,2098,0.75,595,495.25,566,0
13,2001/12/27 2:25,2,2,33,0.816160319,0.095681562,0.04183252,403.4848485,0,21,6840,0.727272727,548,448.25,540,0
15,2001/12/27 0:28,2,2,33,0.816160319,0.095681562,0.04183252,403.4848485,1,21,6840,0.727272727,482,382.25,474,0
19,2002/2/8 9:40,2,2,9,0.650241612,0.086558045,0.070773931,218.2222222,0,19,2117,0.555555556,24,24,24,0
27,2003/4/25 1:41,2,2,8,0.795895353,0.080952381,0.023809524,393.75,1,27,794,0.875,170,90.5,169,1
28,2002/12/10 19:41,2,2,3,0.873908094,0.079207921,0.007920792,168.3333333,1,9,39,0.333333333,659,659,644,1
29,2002/11/27 11:00,2,2,10,0.761024475,0.013781698,0.006615215,544.2,1,26,172,0.6,21,21,20,1
31,2002/8/26 2:16,4,4,63,0.99530485,6.19E-05,0.003964321,256.2539683,1,26,3520,0.603174603,363,336,363,0
34,2002/2/26 1:13,2,2,3,0.770097148,0.115808824,0.045955882,181.3333333,1,6,42,0.333333333,54,54,54,1
43,2002/1/30 17:58,2,2,41,0.800417597,0.028489306,0.020120044,288.5121951,0,22,10034,0.731707317,709,609.25,701,0
44,2001/12/2 23:05,3,3,21,0.800379136,0.009292352,0.005616257,466.3333333,0,20,2739,0.714285714,290,190.25,286,0
46,2002/8/8 20:08,2,2,12,0.614774028,0.508086253,0.507637017,185.5,0,23,3724,0.5,423,221.1666667,409,0
50,2002/2/4 11:57,3,3,22,0.815714726,0.058696694,0.034379492,379.4545455,0,22,4898,0.863636364,745,645.25,737,0
51,2002/1/21 17:58,2,2,38,0.914054199,0.018813158,0.006772737,244.7894737,0,21,9020,0.763157895,633,533.25,625,0
55,2002/5/23 15:33,1,1,1,0,0.025641026,0.025641026,39,1,6,86,1,999,824.6,939,0
57,2003/9/2 2:54,2,2,2,1,0.003236246,0.003236246,309,1,15,256,0.5,576,192.5666667,549,1
