transactionid,commitdate,ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
1,2006/7/8 9:06,1,2,2,0.954434003,0.102564103,0.102564103,39,0,1,53,1,21140,8343.008333,1188,0
6,2006/5/28 22:53,1,3,3,0.693298413,0.333333333,0.091503268,102,0,6,24,1,70,70,70,0
10,2006/5/4 11:48,1,1,1,0,0.097345133,0.044247788,113,1,3,41,1,2402,713.7166667,2396,0
28,2005/9/27 11:09,1,3,4,0.894835704,0.035483871,0.034408602,232.5,0,8,97,1,16307,5914.816667,15716,0
41,2005/1/24 11:41,1,1,1,0,0.103233831,0.004975124,804,0,4,8,1,1778,712.2833333,1774,1
42,2005/1/7 16:52,1,2,6,0.420504244,0.154761905,0.071428571,14,0,5,411,0.833333333,1719,673.6333333,1715,1
52,2004/9/15 13:01,1,1,2,0.18512476,0.370588235,0.047058824,85,0,2,125,1,11729,5276.666667,11409,1
59,2004/6/2 11:27,1,1,2,0.109606389,1.243478261,1.147826087,57.5,0,6,60,1,10551,5285.5,10255,1
67,2003/10/25 6:32,1,7,12,0.596057648,0.157323689,0.245931284,46.08333333,0,5,856,0.75,6785,4430,6647,0
71,2003/8/19 13:04,1,1,1,0,0.076923077,0,91,0,4,7,1,5870,4174.5,5751,0
127,2005/4/30 13:58,1,1,1,0,0.595744681,0.35106383,188,0,6,128,1,14165,5347.983333,13758,1
128,2005/4/23 12:49,1,2,3,0.922310714,0.125603865,0.004830918,69,1,5,389,1,14164,5670.85,13757,0
129,2005/4/18 16:31,1,2,2,0.811278124,0.004750594,0.014251781,210.5,1,7,142,1,14161,5676.533333,13754,0
143,2004/8/25 4:28,1,2,2,1,0.011173184,0.011173184,89.5,1,4,6,1,11473,5156.833333,11154,0
147,2004/8/13 10:32,1,1,1,0,0.047619048,0.047619048,21,0,3,47,1,10991,5257.916667,10691,0
154,2004/6/27 7:33,1,1,1,0,0.047619048,0.047619048,21,0,3,19,1,10824,5311.416667,10524,0
157,2004/6/8 20:11,1,1,1,0,0.047619048,0.047619048,21,0,3,1,1,10625,5297.75,10329,0
162,2004/2/15 11:37,1,1,1,0,0.052631579,0.052631579,19,0,3,9,1,8944,5443.333333,8669,0
180,2003/10/21 13:00,1,1,1,0,0.037037037,0.037037037,27,0,3,9,1,6738,4388.5,6605,0
197,2003/6/11 11:00,1,1,1,0,0.037037037,0.037037037,27,0,3,23,1,4923,4158,4891,0
221,2005/9/21 9:20,1,5,5,0.72530378,0.065445026,0.045375218,229.2,1,8,108,1,2220,870.9,2216,0
273,2005/4/2 11:12,1,1,2,0.721928095,0.091743119,0.091743119,54.5,1,2,304,0.5,14159,5725.483333,13752,0
275,2005/1/8 12:10,1,1,1,0,0.006134969,0,163,0,6,0,1,1747,701.4666667,1743,0
280,2004/11/13 13:34,1,6,11,0.988109092,0.008862629,0.008862629,123.0909091,1,6,598,0.636363636,12564,5677.916667,12209,0
286,2004/10/31 6:39,1,2,3,0.189426508,0.180811808,0.031365314,180.6666667,0,6,206,1,1625,717.5,1621,0
306,2004/6/1 12:12,1,1,2,0,0,0,0,0,6,141,1,10546,5317.666667,10250,0
316,2003/11/25 18:01,2,55,114,0.923853474,2.264419815,2.265399985,116.3421053,0,8,479,0.114035088,1211,1078.5,1211,1
623,2006/6/27 21:19,1,1,1,0,0.735849057,0.20754717,53,1,2,17,1,35,12.86666667,1,0
656,2006/7/6 20:15,2,9,13,0.521998342,0.519704433,1.812807882,31.23076923,1,2,338,0.384615385,48,25.86666667,14,0
672,2006/7/6 20:58,3,5,5,0.89513437,0.360374415,0.118564743,128.2,1,2,85,0.8,53,30.86666667,17,0
696,2006/6/10 9:18,3,28,104,0,0,0,62.88461538,0,1,0,0.009615385,18932,6272.622619,215,0
735,2006/6/10 9:57,1,1,1,0,0,0,2,0,1,0,1,19577,6917.622619,1,0
830,2006/7/8 13:57,3,4,8,0,0,0,64.875,0,1,0,0.125,21164,8367.008333,684,0
852,2006/7/8 13:57,1,1,1,0,0.323529412,5.411764706,34,0,1,0,1,21164,8367.008333,126,0
855,2006/6/25 8:41,2,2,2,0.26086291,0.263374486,0.016460905,121.5,1,1,0,1,21004,8256.378571,520,0
856,2006/6/25 8:17,4,5,5,0,0,0,62.2,0,1,0,0.2,21001,8253.378571,833,1
883,2006/6/25 11:33,1,1,1,0,0.018867925,0.018867925,53,1,1,0,1,21005,8257.378571,111,0
911,2006/6/25 12:42,2,2,3,0,0,0,27.66666667,0,1,0,0.333333333,21023,8275.378571,783,0
912,2006/7/8 13:57,3,5,7,0.561974676,0.021505376,0.111111111,39.85714286,0,1,0,0.571428571,21150,8353.008333,671,0
929,2006/6/25 8:17,2,2,5,0,0,0,77.4,0,1,0,0.2,20981,8233.378571,1065,1
959,2006/6/10 8:59,6,28,102,0,0,0,12.8627451,0,1,0,0.009803922,18828,6168.622619,473,1
1052,2006/7/8 13:57,1,1,1,0,0.041666667,0.041666667,96,0,1,0,1,21164,8367.008333,471,0
1109,2006/6/20 16:36,1,1,1,0,0,0,44,0,1,0,1,20954,8227.171429,395,0
1110,2006/7/8 13:57,2,2,2,0,0,0,25,0,1,0,0.5,21150,8353.008333,587,0
1171,2006/7/8 13:57,1,1,1,0,0.060686016,0.002638522,379,0,1,0,1,21164,8367.008333,471,0
1175,2006/7/8 13:57,1,1,1,0,0.079365079,0.079365079,126,0,1,0,1,21164,8367.008333,471,0
1187,2006/6/27 5:22,1,2,2,0.08823247,1.416666667,1.255952381,168,1,2,34,1,34,11.86666667,3,0
1225,2006/6/23 1:42,1,1,1,0,0.12,0.14,50,1,1,5,1,20964,8229.486905,400,0
1284,2006/6/25 13:24,1,1,1,0,0.420560748,0.196261682,107,0,1,0,1,21024,8276.378571,417,0
1326,2006/6/10 8:58,2,21,143,0,0,0,43.74825175,0,1,0,0.006993007,18565,5905.622619,286,0
1361,2006/6/20 15:49,3,10,21,0.747479954,0.302469136,0.195473251,46.28571429,0,1,82,0.333333333,20949,8222.171429,1087,0
1368,2006/7/8 8:59,1,2,3,0.561837671,0.09375,0.041666667,32,0,1,64,0.666666667,21137,8340.008333,458,0
1370,2006/6/18 10:40,2,3,3,0,0,0,45.33333333,0,1,0,0.333333333,20925,8206.917857,1015,0
1394,2006/6/27 1:58,1,1,1,0,2.272727273,1.597402597,77,1,2,17,1,32,9.866666667,1,0
1403,2006/7/8 8:59,5,6,7,0.720227173,0.102730819,0.085825748,109.8571429,0,1,151,0.714285714,21133,8336.008333,1406,0
1425,2006/7/8 8:59,3,4,9,0.509454287,0.176848875,0.021436227,103.6666667,0,1,233,0.444444444,21091,8294.008333,1203,0
1429,2006/6/20 15:49,2,2,3,0,0,0,38.66666667,0,1,0,0.333333333,20949,8222.171429,1035,0
1430,2006/7/8 8:58,3,3,3,0.955232357,0.481481481,0.606481481,72,0,2,6,0.666666667,21037,8240.008333,1175,0
1435,2006/7/8 8:59,3,5,18,0.641848045,0.566395664,0.28635953,61.5,0,1,235,0.444444444,21071,8274.008333,1185,0
1436,2006/6/25 8:17,4,7,10,0.576936307,0.263757116,0.051233397,52.7,0,1,74,0.5,20995,8247.378571,1129,0
1442,2006/7/8 8:59,2,2,2,0,0,0,31,0,1,0,0.5,21071,8274.008333,1122,0
1445,2006/6/20 15:51,1,1,1,0,0.053030303,0.007575758,132,0,1,0,1,20950,8223.171429,394,0
1701,2006/6/10 8:58,2,14,143,0,0,0,52.46853147,0,1,0,0.006993007,18422,5762.622619,143,1
1757,2006/6/10 8:59,3,39,161,0,0,0,60.24223602,0,1,0,0.00621118,18726,6066.622619,447,1
1799,2006/7/8 13:57,1,1,1,0,0.026315789,0.026315789,38,0,1,0,1,21164,8367.008333,87,0
1826,2006/7/8 8:59,1,1,1,0,0,0,8,0,1,0,1,21137,8340.008333,82,0
1827,2006/7/8 8:59,2,3,11,0,0,0,11.18181818,0,1,0,0.090909091,21091,8294.008333,120,0
1838,2006/7/8 13:57,1,1,1,0,0,0,0,0,1,0,1,21141,8344.008333,83,0
1866,2004/1/4 10:36,1,1,1,0,3.333333333,3.333333333,21,0,3,1,1,8814,5631.833333,8539,1
1958,2005/9/21 16:57,1,6,20,0,0,0,50.1,0,1,0,0.05,16289,5918.8,15698,1
1982,2004/11/13 13:34,1,9,15,0.959278438,0.010692178,0.012380416,118.4666667,1,9,630,0.4,12579,5692.916667,12224,0
1987,2004/7/8 13:55,1,1,9,0.693185735,0.625536481,0.723175966,103.5555556,1,8,430,0.777777778,10899,5324.75,10599,1
1991,2004/4/9 19:51,1,1,1,0,2.49382716,2.271604938,81,0,5,19,1,250,250,228,1
2033,2005/9/16 4:22,1,2,2,0.110909876,1.574712644,1.540229885,43.5,1,2,81,1,16244,5885.216667,15653,1
2039,2004/9/15 13:01,1,1,1,0,0,0,22,0,1,0,1,11732,5279.666667,11412,0
2078,2006/3/1 10:44,1,1,1,0,0.128205128,0.871794872,39,1,2,17,1,16650,4461.642857,15917,0
2087,2005/10/31 11:11,1,2,3,0.054938964,0.567073171,0.625609756,273.3333333,0,8,234,0.666666667,2248,869.1,2242,0
2095,2004/9/16 12:37,1,1,1,0,0.210526316,0,38,1,2,21,1,11740,5283,11420,0
2096,2004/9/15 13:52,1,3,3,0.334163496,0.72752809,0.755617978,118.6666667,1,3,43,1,11739,5286.666667,11419,1
2100,2004/4/7 7:30,1,1,3,0.628234076,0.292682927,0.024390244,13.66666667,0,2,57,0.666666667,10169,6116.5,9882,0
2141,2004/7/26 17:47,1,1,1,0,0.03255814,0.004651163,215,0,3,6,1,1552,768.25,1548,0
2143,2004/7/20 16:59,1,1,1,0,0.00462963,0.00462963,216,0,3,7,1,1537,756.4166667,1533,0
2144,2004/7/14 19:51,1,1,3,0.884153296,0.094845361,0.049484536,161.6666667,1,5,134,1,1534,753.4166667,1530,1
2146,2004/7/11 19:13,1,4,4,0.677168559,0.030973451,0.115044248,113,0,8,158,0.75,1527,748.4166667,1523,0
2161,2005/6/10 13:24,1,1,1,0,0.034482759,0,29,0,4,169,1,1910,690.3166667,1906,0
2164,2005/6/8 4:54,1,1,1,0,0.007352941,0.007352941,272,1,2,7,1,1895,675.3166667,1891,0
2175,2004/6/21 18:33,1,3,13,0.607303626,0.349841939,0.182297155,73,0,8,1154,0.615384615,1354,601.25,1350,1
2178,2004/4/8 7:28,1,1,1,0,0.260869565,0.130434783,23,1,2,46,1,1984,1688.833333,1938,0
2181,2004/4/5 3:40,1,2,2,0.387051421,0.136363636,0.136363636,242,1,5,79,1,1961,1671,1915,1
2184,2004/2/26 6:11,1,1,2,0.825626526,0.126436782,0.028735632,87,1,3,8,0.5,1341,943.8333333,1337,1
2188,2004/1/11 17:44,1,3,3,0.05643152,0.959813084,0.942990654,356.6666667,0,6,58,1,1310,953.1666667,1306,1
2189,2004/1/11 11:36,1,1,1,0,0.040909091,0.009090909,220,1,5,4,1,1305,948.1666667,1301,0
2192,2004/1/6 10:09,1,3,5,0.804625116,0.235891648,0.12979684,177.2,0,7,77,0.8,1278,922.6666667,1274,1
2199,2003/11/27 12:00,1,2,3,0.126578594,1.52173913,1.539130435,38.33333333,1,5,6,0.333333333,1214,1081.5,1192,1
2221,2003/10/6 5:03,1,2,2,0.667713541,0.029017857,0.066964286,448,1,6,6,1,6522,4265.5,6401,0
2225,2003/10/2 5:52,1,1,1,0,0.031932773,0.067226891,595,0,5,1,1,1049,783,1047,0
2229,2003/9/29 18:57,1,1,1,0,0.011589404,0.009933775,604,0,5,0,1,1043,777,1041,0
2234,2003/9/19 8:01,1,3,3,0.725686242,0.023809524,0.01047619,350,1,5,17,1,1002,746.5,1000,0
2248,2006/6/25 8:17,2,2,4,0,0,0,27,0,1,0,0.25,20995,8247.378571,118,0
2253,2003/8/29 18:05,1,1,1,0,0.736842105,0.789473684,19,0,1,0,1,6150,4454.5,6029,0
2254,2003/8/29 12:31,1,3,5,0.916725502,0.082995951,0.071862348,197.6,0,4,242,0.4,6111,4415.5,5990,1
2667,2003/1/5 15:58,1,1,3,0,0,0,20,0,1,0,0.333333333,2686,2686,2678,1
2703,2006/6/10 9:29,1,43,223,0,0,0,63.15695067,0,1,0,0.004484305,19155,6495.622619,223,1
2725,2006/6/25 8:17,3,4,12,0.680558719,0.616071429,0.189285714,46.66666667,0,1,92,0.583333333,20981,8233.378571,1169,1
2728,2006/6/10 10:03,2,3,8,0,0.067164179,0.097014925,16.75,0,1,0,0.25,19586,6926.622619,652,0
2733,2006/6/20 16:36,1,1,1,0,0.285714286,0.19047619,42,0,1,2,1,20951,8224.171429,643,0
2761,2006/7/9 5:24,1,1,1,0,0.004166667,0.004166667,240,1,2,29,1,60,37.86666667,5,0
2809,2006/6/17 10:01,1,3,5,0.753501891,0.082508251,0.00990099,181.8,0,1,35,0.2,20896,8179.222619,625,0
2872,2006/6/29 14:38,4,8,10,0.629258047,0.25,0.101145038,104.8,0,1,93,0.4,21034,8280.778571,2319,1
2943,2006/6/20 16:36,1,1,2,1,0.035087719,0.035087719,85.5,0,1,20,0.5,20953,8226.171429,645,0
3055,2006/6/22 14:26,2,3,3,0.630929754,0.00896861,0.01793722,74.33333333,1,1,30,0.333333333,20957,8223.946429,1043,1
3078,2006/7/8 13:57,1,1,1,0,0.007194245,0.007194245,139,0,1,0,1,21164,8367.008333,697,0
3108,2006/6/12 17:16,2,3,4,0.976304992,0.031609195,0.027298851,174,1,1,8,0.5,20887,8211.84881,987,0
3112,2006/7/27 21:55,1,1,1,0,0.048850575,0.045977011,348,1,2,19,1,61,38.78333333,6,0
3127,2006/7/8 8:59,4,6,8,0,0,0,34.875,0,1,0,0.125,21126,8329.008333,1279,0
3196,2006/6/10 9:36,1,49,325,0,0,0,67.8,0,1,0,0.003076923,19480,6820.622619,548,1
3212,2006/7/8 8:59,5,6,12,0,0,0,40.5,0,1,0,0.083333333,21118,8321.008333,1391,0
3215,2006/7/8 8:59,5,10,15,0.772280511,0.14488189,0.041732283,84.66666667,0,1,310,0.533333333,21118,8321.008333,1391,0
3280,2006/6/18 10:40,2,2,3,0.889513121,0.032102729,0.004815409,207.6666667,0,1,24,0.666666667,20922,8203.917857,1012,0
3340,2006/7/6 21:14,3,6,6,0.933574222,0.31629393,0.111821086,52.16666667,1,2,133,1,59,36.86666667,12,0
3356,2006/6/18 10:40,4,6,22,0,0,0,28,0,1,0,0.045454545,20919,8200.917857,1059,1
3517,2006/6/10 9:41,1,19,63,0,0,0,40.6031746,0,1,0,0.015873016,19543,6883.622619,611,1
3545,2006/6/25 12:42,4,7,15,0.870059129,0.204225352,0.158450704,56.8,0,1,19,0.466666667,21023,8275.378571,1258,0
3546,2006/6/25 8:17,1,1,1,0,0,0,0,0,1,15,1,21001,8253.378571,5,0
3621,2006/6/10 10:03,1,1,1,0,0,0,3,0,1,0,1,19586,6926.622619,1,0
3632,2006/6/10 9:45,1,12,33,0,0,0,12,0,1,0,0.03030303,19576,6916.622619,33,0
3651,2006/6/22 14:41,3,4,6,0.886292006,0.075153374,0.004601227,108.6666667,1,1,46,0.666666667,20963,8229.946429,1088,0
3661,2006/7/8 8:59,3,4,7,0,0,0,67.71428571,0,1,0,0.142857143,21051,8254.008333,1150,0
3664,2006/7/8 8:59,3,3,7,0.644479636,0.061032864,0.018779343,30.42857143,0,1,96,0.714285714,21051,8254.008333,1150,0
3666,2006/6/17 10:01,2,2,4,0,0,0,6.75,0,1,0,0.25,20896,8179.222619,664,0
3689,2005/2/18 10:29,1,1,1,0,0.031746032,0.015873016,63,0,2,41,1,1801,714.15,1797,0
3716,2005/1/7 16:53,1,1,1,0,0.223021583,0.057553957,139,0,6,0,1,1725,679.6333333,1721,0
3855,2003/3/23 17:20,1,1,1,0,0,0,0,0,1,84,1,3602,3602,13,0
3861,2003/3/23 17:20,1,3,3,0,0,0,0,0,2,137,1,3607,3607,18,0
3862,2003/3/11 10:01,1,1,1,0,0,0,17,0,1,0,1,476,476,1,0
3865,2002/12/29 5:46,1,2,2,0.986479815,2.438596491,0,28.5,0,1,28,1,1899,1899,8,0
3890,2002/12/15 11:39,1,1,1,0,0,0,0,0,1,0,1,1656,1656,2,0
3891,2002/12/19 12:53,2,2,2,0.928839146,0.093457944,0.191588785,107,0,2,0,0.5,1778,1778,1778,0
3892,2002/12/18 14:26,1,1,1,0,0.066666667,0.5,30,0,1,0,1,1693,1693,5,0
3893,2002/12/15 11:39,1,1,1,0,2.583333333,0,36,0,1,0,1,1656,1656,2,0
4308,2003/1/5 15:58,1,1,1,0,0,0,122,0,1,0,1,2692,2692,9,0
4335,2003/2/3 9:56,1,1,1,0,0.769230769,0.307692308,26,1,1,36,1,2824,2824,10,0
4337,2002/12/15 11:41,1,1,1,0,0,0,0,0,1,0,1,1658,1658,4,0
4338,2002/12/15 11:41,1,1,1,0,2.4,0,25,0,1,0,1,1658,1658,4,0
4344,2006/4/6 14:46,1,2,2,0.591672779,0.211413748,0.079118029,385.5,1,1,25,1,17439,5083.711905,1008,1
4368,2006/2/19 11:36,1,2,22,0,0,0,19.18181818,0,1,0,0.045454545,16587,4543.604762,682,0
4403,2006/2/19 11:36,1,2,4,0,0,0,7,0,1,0,0.25,16612,4568.604762,707,0
4409,2006/3/4 8:21,1,3,5,0,0,0,29.6,0,1,0,0.2,16716,4459.17619,792,0
4411,2006/4/30 6:16,1,1,1,0,0.272727273,0.090909091,11,0,1,70,1,17898,5432.361905,1055,0
4427,2006/2/19 11:36,1,1,1,0,0,0,13,0,1,0,1,16638,4594.604762,733,0
4445,2006/2/19 11:36,1,1,3,0,0,0,7,0,1,0,0.333333333,16608,4564.604762,703,0
4614,2006/3/1 12:39,1,2,2,0.970950594,0.042735043,0,58.5,1,1,20,1,16672,4483.642857,753,0
4663,2006/3/1 11:24,1,2,5,0,0,0,23.6,1,1,0,0.2,16662,4473.642857,743,1
4695,2006/5/28 7:47,1,1,3,0.974251918,0.16064257,0.297188755,83,0,1,147,1,18219,5578.016667,1063,0
4696,2006/5/15 15:00,1,1,1,0,0,0.045454545,44,0,1,56,1,18072,5494.65,1056,0
