transactionid,commitdate,ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
7,2003/10/10 16:10,1,1,3,0.581676297,0.065668759,0.021728634,690.3333333,1,6,36,0.666666667,3709,1752.666667,3709,1
13,2002/5/14 7:42,1,1,1,0,0.002985075,0.008955224,670,0,3,0,1,13391,7983.5,13391,0
14,2002/5/13 15:48,1,2,2,0,0,0,34.5,0,1,7,1,1508,1508,1508,1
16,2002/4/5 8:48,1,1,3,0,0,0,0,0,1,458,0.666666667,12804,8025.5,12804,0
28,2001/8/24 15:14,1,37,429,0.622239345,0.217703905,0.266460723,170.5337995,0,1,835,0.018648019,6003,6003,6003,0
32,2001/7/9 10:12,1,2,2,0,0.063583815,0.063583815,86.5,0,1,0,1,1963,1963,1963,0
33,2001/7/4 7:23,1,1,1,0,0.010869565,0.010869565,92,0,1,6,1,1941,1941,1941,0
41,2001/10/4 10:32,1,9,42,0.712136164,0.146361689,0.112639071,344.547619,0,1,2202,0.119047619,9460,9460,9460,0
69,2005/9/15 10:34,1,1,1,0,0.003858521,0,1555,1,10,10,1,2048,1289.5,2048,0
71,2005/4/13 12:50,1,2,7,0.781666107,0.010143043,0.000390117,1098.571429,0,10,26,0.857142857,1052,482.9857143,1052,0
73,2004/4/6 9:21,1,1,2,0.945660305,0.003659652,0.00137237,1093,0,6,8,1,4212,2648.233333,4212,0
76,2002/9/20 10:02,1,1,2,0.877962001,0.049701789,0.023856859,503,0,5,2,1,887,723.5,887,0
78,2002/4/22 8:13,1,2,4,0.169455175,0.029259897,0.021084337,581,0,3,6,0.5,12929,8051.5,12929,1
82,2002/3/1 14:04,1,2,3,0.1064132,0.074468085,0.002901354,344.6666667,0,3,2,1,12303,7802.5,12303,0
84,2002/2/25 6:49,1,1,1,0,0.006802721,0.006802721,147,0,1,0,1,12159,7684,12159,0
85,2002/2/25 6:21,1,3,5,0.600562178,0.090007348,0.001102131,544.4,1,3,160,1,12157,7682,12157,0
87,2002/2/14 7:02,1,1,1,0,0.004608295,0.023041475,217,0,1,1,1,12130,9990,12130,0
88,2001/11/8 11:29,1,2,2,0.863120569,0.008836524,0.001472754,339.5,0,1,3,1,10752,10752,10752,0
91,2001/11/5 5:18,1,5,10,0.908951213,0.013636364,0.00530303,264,0,1,86,0.8,9910,9910,9910,0
92,2001/10/23 11:39,1,3,3,0.645075643,0.012999071,0.002785515,359,0,1,45,1,9721,9721,9721,0
102,2004/2/13 16:08,1,6,6,0.856485388,0.008754651,0.004596192,761.5,0,6,136,0.5,17768,4494.333333,17768,0
111,2002/7/11 6:16,1,1,1,0,0.001769912,0.001769912,565,0,2,318,1,14518,8189.833333,14518,0
123,2001/6/27 7:24,1,37,709,0.851036686,1.395642892,1.676248216,119.5782793,0,1,15598,0.002820874,1456,1456,1456,1
