transactionid,commitdate,ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
6,2004/12/31 16:58,10,107,694,0.999730665,0.006990315,0.006990315,284.4610951,0,20,70706,0.195965418,1603,988.7333333,1594,0
7,2004/8/29 0:12,10,111,755,0.999520447,0.006865755,0.006865755,288.6,0,20,108260,0.286092715,25822,4918.773409,25556,0
13,2000/1/26 11:09,1,1,1,0,0.025641026,0.02991453,234,0,2,0,1,13150,5202.438095,510,1
38,2004/4/19 20:33,2,2,8,0.861654167,6,6,0,0,7,1230,0.5,909,874.9487179,107,0
49,2002/8/30 9:06,1,1,1,0,0,0,0,0,3,298,1,5076,521.8671079,468,0
51,2002/8/21 20:15,1,1,6,1,6,6,0,0,4,284,0.333333333,5006,452.3599095,398,0
52,2002/3/29 12:32,1,1,1,0,0.017699115,0.017699115,226,0,7,66,1,1251,455.9166667,239,0
175,2001/12/28 0:00,1,1,1,0,0.012461059,0.00623053,321,0,5,53,1,18753,5560.007251,792,1
247,2000/10/5 15:48,2,11,16,0.907301564,0.009186798,0.009186798,551.0625,1,11,587,0.75,14366,4344.243651,12527,0
250,2000/6/2 11:57,5,17,23,0.912627099,0.00998733,0.023179548,583.3478261,0,14,884,0.565217391,13977,5101.309524,13552,1
256,2000/4/28 11:03,1,1,1,0,0.012048193,0.012048193,83,0,2,97,1,13708,5161.591667,221,1
275,1999/4/29 22:04,1,1,2,0.918295834,0.007848267,0.0058862,764.5,0,5,86,1,9304,4231.35,5872,0
301,1997/10/16 0:13,2,2,2,0.863120569,0.003643935,0.003643935,960.5,0,4,27,1,3173,2880.666667,1111,1
416,2003/8/4 0:03,2,4,5,0.359827076,0.001592357,0.089968153,753.6,0,10,5,0.2,12048,4620.651984,10679,0
427,2000/6/5 13:07,1,1,1,0,0.002139037,0.002139037,935,0,9,0,1,13984,5088.588095,8670,0
454,1998/5/12 17:43,3,4,5,0.930392399,0.01319797,0.014213198,197,1,4,831,0.8,5352,3595,3483,1
552,2000/10/22 18:14,3,8,9,0.683849738,0.022554486,0.023314749,438.4444444,1,9,944,0.888888889,620,471,408,1
577,2000/6/12 18:36,1,1,1,0,0.5,0.5,4,0,5,1,1,14107,5162.920238,3605,0
591,1997/8/25 15:41,3,3,4,0.384262062,0.041970803,0.062043796,411,1,5,389,1,1133,869,868,0
614,1998/9/14 22:25,1,1,2,0.034569815,0.089649199,0.10177566,5772.5,0,3,14,1,4549,1423.516667,3034,0
629,2003/11/29 14:51,10,106,502,0.999876821,0.002392219,0.002392219,418.8545817,0,15,49116,0.270916335,540,506.8333333,540,0
630,2002/9/4 18:54,1,1,1,0,0.004255319,0.008510638,235,1,8,0,1,1469,551.4666667,283,0
638,2000/8/29 5:36,3,7,8,0.849031616,0.011666168,0.011666168,417.875,0,10,16,0.125,509,371,472,0
640,2000/8/27 15:00,3,7,8,0.849031616,0.011666168,0.011666168,417.875,0,10,445,1,500,366,463,0
649,2010/5/13 18:07,1,1,1,0,0.045627376,0.053231939,263,1,2,1,1,31118,4892.570253,1359,0
663,2010/1/2 11:57,10,135,990,0.999984182,0.005647414,0.005647414,354.3232323,0,28,171439,0.228282828,37275,4309.489288,37169,0
664,2009/12/31 14:41,4,10,11,0.940164488,0.004057169,0.004241586,985.9090909,0,23,2108,0.545454545,30278,5082.006271,27185,0
665,2009/12/15 17:59,2,2,3,0.187027536,0.065893079,0.012018235,804.3333333,0,18,22,1,2980,471.6404233,562,1
672,2009/9/13 18:18,1,1,3,0.304221198,0.047882136,0.013505218,543,1,10,369,1,29342,4777.606736,1424,0
674,2009/9/8 12:08,1,1,1,0,0.018542475,0.01164295,2319,1,16,8,1,29305,4769.643257,18535,0
693,2009/4/4 17:55,1,1,1,0,0.231884058,0.043478261,69,1,3,740,1,28482,5052.149389,156,0
699,2009/1/21 5:29,3,3,3,0.254767637,0.117940199,0.026578073,200.6666667,1,9,27,1,444,233.25,278,0
702,2009/1/11 13:02,2,2,2,0.878674493,0.006174497,0.006442953,1862.5,1,12,194,1,27885,5110.275894,23738,0
704,2009/1/6 22:39,2,3,3,0.901894422,0.02540107,0.029411765,249.3333333,0,15,335,0.666666667,35498,4284.065448,11549,0
705,2009/1/6 12:27,1,1,1,0,0.004987531,0.004987531,401,1,7,22,1,27831,5107.354539,1203,0
710,2009/1/1 12:23,10,133,960,0.999983615,0.005787347,0.005787347,345.7614583,0,25,174659,0.286458333,35480,4279.507598,35375,0
711,2008/12/11 2:34,7,20,32,0.949260355,0.003685696,0.002666248,797,0,21,4222,0.78125,2610,368.6850312,2563,0
